DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
WikiData, > 50.0%, > 25,5466,1,1.989961389961389961389961,2577,1,8910,1,1,1614,1,1,5.523868567885926844389337,10,25,1,7615,3,
WikiData, > 50.0%, > 50,3165,1,2.054778554778554778554779,1763,1,5687,1,1,1054,1,1,5.400759734093067426400760,10,25,1,4829,3,
WikiData, > 50.0%, > 100,1854,1,1.989528795811518324607330,1140,1,3722,1,1,704,1,1,5.294452347083926031294452,10,17,1,3149,3,
WikiData, > 50.0%, > 500,310,1,2.087431693989071038251366,382,1,1387,1,1,261,1,1,5.314176245210727969348659,10,17,1,1204,3,
WikiData, > 50.0%, > 1000,0,1,2.219512195121951219512195,273,-999,950,1,0,165,1,1,5.757575757575757575757576,10,17,-999,827,3,
WikiData, > 90.0%, > 1,71486,1,2.163789845029608164293814,17174,1,73652,1,1,13227,1,1,5.570412948116775071849947,30,47,1,65715,2,
WikiData, > 90.0%, > 10,10735,1,2.078055964653902798232695,2822,1,12829,1,1,2822,1,1,4.547678128323289613612194,10,26,1,11471,3,
WikiData, > 90.0%, > 25,5466,1,2.148148148148148148148148,1740,1,7122,1,1,1614,1,1,4.415375077495350278983261,10,22,1,6312,3,
WikiData, > 90.0%, > 50,3165,1,2.208728652751423149905123,1164,1,4515,1,1,1054,1,1,4.287749287749287749287749,10,16,1,3988,3,
WikiData, > 90.0%, > 100,1854,1,2.111420612813370473537604,758,1,2994,1,1,704,1,1,4.258890469416785206258890,10,14,1,2635,3,
WikiData, > 90.0%, > 500,310,1,2.091666666666666666666667,251,1,1127,1,1,261,1,1,4.318007662835249042145594,10,14,1,1007,3,
WikiData, > 90.0%, > 1000,0,1,2.171052631578947368421053,165,-999,735,1,0,165,1,1,4.454545454545454545454545,10,14,-999,659,3,
WikiData, > 75.0%, > 1,71486,1,2.140112464854732895970009,18268,1,76305,1,1,13227,1,1,5.769754253308128544423440,30,47,1,67769,2,
WikiData, > 75.0%, > 10,10735,1,1.998236331569664902998236,3399,1,14079,1,1,2822,1,1,4.990783410138248847926267,10,26,1,12378,3,
WikiData, > 75.0%, > 25,5466,1,2.037254901960784313725490,2078,1,7786,1,1,1614,1,1,4.827030378177309361438314,10,22,1,6766,3,
WikiData, > 75.0%, > 50,3165,1,2.103139013452914798206278,1407,1,4942,1,1,1054,1,1,4.693257359924026590693257,10,22,1,4273,3,
WikiData, > 75.0%, > 100,1854,1,2.038374717832957110609481,903,1,3242,1,1,704,1,1,4.611664295874822190611664,10,15,1,2799,3,
WikiData, > 75.0%, > 500,310,1,2,290,1,1210,1,1,261,1,1,4.636015325670498084291188,10,15,1,1065,3,
WikiData, > 75.0%, > 1000,0,1,2.096774193548387096774194,195,-999,796,1,0,165,1,1,4.824242424242424242424242,10,15,-999,703,3,
