Confidence,Support,COUNT,TYPE
 > 50.0%, > 25,2577,NonLiteral
 > 50.0%, > 25,7615,Literal
 > 50.0%, > 50,1763,NonLiteral
 > 50.0%, > 50,4829,Literal
 > 50.0%, > 100,1140,NonLiteral
 > 50.0%, > 100,3149,Literal
 > 50.0%, > 500,382,NonLiteral
 > 50.0%, > 500,1204,Literal
 > 50.0%, > 1000,273,NonLiteral
 > 50.0%, > 1000,827,Literal
 > 90.0%, > 1,17174,NonLiteral
 > 90.0%, > 1,65715,Literal
 > 90.0%, > 10,2822,NonLiteral
 > 90.0%, > 10,11471,Literal
 > 90.0%, > 25,1740,NonLiteral
 > 90.0%, > 25,6312,Literal
 > 90.0%, > 50,1164,NonLiteral
 > 90.0%, > 50,3988,Literal
 > 90.0%, > 100,758,NonLiteral
 > 90.0%, > 100,2635,Literal
 > 90.0%, > 500,251,NonLiteral
 > 90.0%, > 500,1007,Literal
 > 90.0%, > 1000,165,NonLiteral
 > 90.0%, > 1000,659,Literal
 > 75.0%, > 1,18268,NonLiteral
 > 75.0%, > 1,67769,Literal
 > 75.0%, > 10,3399,NonLiteral
 > 75.0%, > 10,12378,Literal
 > 75.0%, > 25,2078,NonLiteral
 > 75.0%, > 25,6766,Literal
 > 75.0%, > 50,1407,NonLiteral
 > 75.0%, > 50,4273,Literal
 > 75.0%, > 100,903,NonLiteral
 > 75.0%, > 100,2799,Literal
 > 75.0%, > 500,290,NonLiteral
 > 75.0%, > 500,1065,Literal
 > 75.0%, > 1000,195,NonLiteral
 > 75.0%, > 1000,703,Literal
